,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
1,Vincent Aboubakar,cm CMR,FW,Hatayspor,32,1992,25,22,1969,21.9,7,2,9,5,2,2,3,0,0.32,0.09,0.41,0.23,0.32,Matches,8637e09a
2,Yaw Ackah,gh GHA,MF,Kayserispor,25,1999,22,2,457,5.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,e7ad4afd
3,Rüzgar Adıyaman,,GK,BB Bodrumspor,17,2006,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,b9f70df9
4,Youssef Aït Bennasser,ma MAR,MF,Samsunspor,28,1996,30,29,2460,27.3,1,2,3,0,1,1,6,0,0.04,0.07,0.11,0.00,0.07,Matches,c46fa34c
5,Arlind Ajeti,al ALB,DF,BB Bodrumspor,30,1993,29,28,2528,28.1,0,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,Matches,f9714604
6,Abat Ajymbetow,kz KAZ,FW,Adana Dem.,28,1995,27,13,1352,15.0,5,0,5,5,0,0,5,0,0.33,0.00,0.33,0.33,0.33,Matches,3bfc87fc
7,Samet Akaydın,tr TUR,DF,Fenerbahçe,30,1994,5,4,375,4.2,1,0,1,1,0,0,3,0,0.24,0.00,0.24,0.24,0.24,Matches,7328bee5
8,Samet Akaydın,tr TUR,DF,Rizespor,30,1994,14,13,1000,11.1,1,0,1,1,0,0,5,1,0.09,0.00,0.09,0.09,0.09,Matches,7328bee5
9,Emre Akbaba,tr TUR,MF,Eyüpspor,31,1992,36,26,2205,24.5,7,2,9,4,3,3,3,0,0.29,0.08,0.37,0.16,0.24,Matches,7230b807
10,Halil Akbunar,tr TUR,MF,Eyüpspor,30,1993,29,13,1227,13.6,3,2,5,3,0,0,3,0,0.22,0.15,0.37,0.22,0.37,Matches,88e9f529
11,Yusuf Akçiçek,tr TUR,DF,Fenerbahçe,18,2006,9,5,418,4.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,879aca3f
12,Yunus Akgün,tr TUR,MF,Galatasaray,24,2000,30,25,2102,23.4,7,10,17,7,0,0,4,0,0.30,0.43,0.73,0.30,0.73,Matches,1453e3cf
13,Babajide Akintola,ng NGA,MF,Rizespor,28,1996,32,27,2153,23.9,3,5,8,3,0,0,7,0,0.13,0.21,0.33,0.13,0.33,Matches,5529e983
14,Gökhan Akkan,tr TUR,GK,Rizespor,29,1995,4,4,360,4.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,3587cb86
15,Gökhan Akkan,tr TUR,GK,BB Bodrumspor,29,1995,4,4,299,3.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,3587cb86
16,Efe Akman,tr TUR,MF,Galatasaray,18,2006,4,0,22,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,6b665cf6
17,Hamza Akman,tr TUR,MF,Eyüpspor,19,2004,10,0,98,1.1,0,1,1,0,0,0,0,0,0.00,0.92,0.92,0.00,0.92,Matches,7d7b0a55
18,Deniz Aksoy,,FW,Hatayspor,17,2007,4,0,34,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,5ab2293e
19,Fatih Aksoy,tr TUR,DFMF,Alanyaspor,26,1997,25,20,1578,17.5,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,c6e7789b
20,Oğuzhan Aksoy,,MF,Sivasspor,17,2006,5,1,52,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0fa9d14b
21,Adnan Aktas,,DF,Kasımpaşa,17,2006,1,0,7,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,b7377c2e
22,Aksel Aktas,tr TUR,MFDF,Adana Dem.,25,1999,16,3,405,4.5,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,b96951d7
23,Kerem Aktürkoğlu,tr TUR,MF,Galatasaray,25,1998,3,2,173,1.9,2,2,4,2,0,0,0,0,1.04,1.04,2.08,1.04,2.08,Matches,f28659fb
24,Kaan Akyazi,,FW,Konyaspor,18,2005,2,0,50,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,bb2b3e41
25,Ufuk Akyol,de GER,MF,Konyaspor,26,1997,6,3,247,2.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,5adbafc0
26,Al-Musrati,ly LBY,MF,Beşiktaş,28,1996,16,13,1174,13.0,1,0,1,1,0,0,4,0,0.08,0.00,0.08,0.08,0.08,Matches,cd6a1a59
27,Danijel Aleksić,rs SRB,MF,Konyaspor,33,1991,29,18,1584,17.6,4,0,4,4,0,0,5,0,0.23,0.00,0.23,0.23,0.23,Matches,d68cb24c
28,Hasan Ali Kaldırım,tr TUR,DFMF,Kayserispor,34,1989,25,18,1595,17.7,2,1,3,2,0,0,4,0,0.11,0.06,0.17,0.11,0.17,Matches,edd38473
29,Muhammet Ali Özbaskıcı,tr TUR,MF,Samsunspor,18,2005,3,0,11,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,31bba076
30,Ömer Ali Şahiner,tr TUR,DFMF,Başakşehir,32,1992,22,18,1469,16.3,1,1,2,1,0,0,6,0,0.06,0.06,0.12,0.06,0.12,Matches,2b59d76f
31,Kerim Alıcı,tr TUR,DF,Hatayspor,27,1997,19,11,966,10.7,1,1,2,1,0,0,1,0,0.09,0.09,0.19,0.09,0.19,Matches,50df83f7
32,Nabil Alioui,fr FRA,MFFW,Adana Dem.,25,1999,28,17,1608,17.9,5,3,8,4,1,1,0,0,0.28,0.17,0.45,0.22,0.39,Matches,b386310a
33,Xusniddin Aliqulov,uz UZB,DFMF,Rizespor,25,1999,33,30,2636,29.3,3,1,4,3,0,0,6,0,0.10,0.03,0.14,0.10,0.14,Matches,6925af2e
34,Fidan Aliti,xk KVX,DF,Alanyaspor,30,1993,34,34,3044,33.8,1,0,1,1,0,0,9,0,0.03,0.00,0.03,0.03,0.03,Matches,5c46e908
35,Sinan Alkaş,,FW,Kasımpaşa,17,2006,4,0,31,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,028cbd01
36,Barış Alper Yılmaz,tr TUR,MF,Galatasaray,24,2000,32,29,2599,28.9,12,3,15,12,0,0,9,0,0.42,0.10,0.52,0.42,0.52,Matches,414b2ce4
37,Taha Altıkardeş,tr TUR,DF,Göztepe,20,2003,23,15,1387,15.4,2,1,3,2,0,0,3,0,0.13,0.06,0.19,0.13,0.19,Matches,3871f0ee
38,Sofyan Amrabat,ma MAR,MF,Fenerbahçe,27,1996,26,18,1793,19.9,2,3,5,2,0,0,9,0,0.10,0.15,0.25,0.10,0.25,Matches,5a2cb25d
39,Seyfettin Anıl Yaşar,tr TUR,DF,Rizespor,22,2002,9,2,225,2.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,214eb160
40,Taylan Antalyalı,tr TUR,MF,BB Bodrumspor,29,1995,24,21,1853,20.6,1,1,2,1,0,1,2,0,0.05,0.05,0.10,0.05,0.10,Matches,4374d81c
41,Ali Arda Yildiz,,DF,Adana Dem.,17,2007,2,1,107,1.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1eed3fee
42,Keny Arroyo,ec ECU,MF,Beşiktaş,18,2006,11,1,237,2.6,1,0,1,1,0,0,0,0,0.38,0.00,0.38,0.38,0.38,Matches,a9c426f6
43,Burak Arslan,,FW,Kayserispor,19,2005,1,0,27,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,5ea1130b
44,Ömürcan Artan,,DF,Gaziantep,25,1999,10,6,610,6.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,52de919f
45,Serkan Asan,tr TUR,DF,Trabzonspor,25,1999,1,1,86,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ee47f156
46,Ahmet Aslan,,MF,BB Bodrumspor,23,2001,22,14,1190,13.2,1,0,1,1,0,0,2,0,0.08,0.00,0.08,0.08,0.08,Matches,d2547206
47,Loide Augusto,ao ANG,MFFW,Alanyaspor,24,2000,18,17,1481,16.5,2,4,6,2,0,0,6,1,0.12,0.24,0.36,0.12,0.36,Matches,aea6ca59
48,Fahri Ay,tr TUR,MF,Beşiktaş,19,2005,2,0,3,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a0b62e11
49,Ersin Aydemir,,FW,Hatayspor,18,2006,1,0,10,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,86eb0432
50,Eyüp Aydın,tr TUR,MF,Galatasaray,19,2004,2,0,13,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,04660c49
51,Oğuz Aydın,tr TUR,MF,Fenerbahçe,23,2000,25,18,1579,17.5,7,3,10,7,0,0,1,0,0.40,0.17,0.57,0.40,0.57,Matches,a7b98226
52,Taylan Aydın,tr TUR,DF,Kasımpaşa,18,2006,7,4,315,3.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2b3d88d9
53,Tayfun Aydoğan,,MF,Adana Dem.,28,1996,31,26,2263,25.1,1,0,1,1,0,0,9,0,0.04,0.00,0.04,0.04,0.04,Matches,e740606e
54,Soner Aydoğdu,tr TUR,MF,Samsunspor,33,1991,29,5,661,7.3,8,1,9,8,0,0,1,0,1.09,0.14,1.23,1.09,1.23,Matches,d1d72821
55,Kaan Ayhan,tr TUR,DFMF,Galatasaray,29,1994,30,19,1726,19.2,1,3,4,1,0,0,6,0,0.05,0.16,0.21,0.05,0.21,Matches,2200181e
56,Ali Aytemur,tr TUR,DF,BB Bodrumspor,28,1996,31,31,2787,31.0,1,0,1,1,0,0,3,0,0.03,0.00,0.03,0.03,0.03,Matches,13d8a4d0
57,Ousseynou Ba,sn SEN,DF,Başakşehir,28,1995,21,20,1646,18.3,0,0,0,0,0,0,8,1,0.00,0.00,0.00,0.00,0.00,Matches,60c07b31
58,Mame Baba Thiam,sn SEN,FW,Eyüpspor,31,1992,32,32,2760,30.7,15,2,17,14,1,4,8,0,0.49,0.07,0.55,0.46,0.52,Matches,ec304819
59,Halil Bağcı,,GK,Gaziantep,21,2003,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ea60af20
60,Stéphane Bahoken,cm CMR,FW,Kayserispor,32,1992,21,12,1013,11.3,5,1,6,5,0,0,4,2,0.44,0.09,0.53,0.44,0.53,Matches,5046b7d4
61,Bünyamin Balat,de GER,MFDF,Adana Dem.,27,1997,24,16,1580,17.6,1,0,1,1,0,0,1,0,0.06,0.00,0.06,0.06,0.06,Matches,69bbff44
62,Bünyamin Balcı,tr TUR,DF,Antalyaspor,24,2000,20,16,1363,15.1,0,1,1,0,0,0,2,0,0.00,0.07,0.07,0.00,0.07,Matches,7d7b3e47
63,Keita Baldé,sn SEN,MFFW,Sivasspor,29,1995,11,5,437,4.9,1,0,1,1,0,0,5,1,0.21,0.00,0.21,0.21,0.21,Matches,509a4ccb
64,Jure Balkovec,si SVN,DF,Alanyaspor,29,1994,25,20,1730,19.2,1,2,3,0,1,1,5,0,0.05,0.10,0.16,0.00,0.10,Matches,1a787ee8
65,Metehan Baltacı,tr TUR,DF,Galatasaray,21,2002,10,4,263,2.9,0,1,1,0,0,0,0,1,0.00,0.34,0.34,0.00,0.34,Matches,601a0704
66,Funsho Bamgboye,ng NGA,MF,Hatayspor,25,1999,31,16,1516,16.8,2,0,2,2,0,0,7,0,0.12,0.00,0.12,0.12,0.12,Matches,bcbd6c5d
